indicator,type,source,first_seen,last_seen
http://115.50.184.106:45580/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.50.203.165:43457/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.50.203.165:43457/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.50.204.6:36020/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.51.244.230:55145/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.53.14.255:54234/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.53.14.255:54234/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.54.160.10:43989/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.54.160.10:43989/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.54.169.112:37908/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.55.183.7:41222/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.57.118.105:34673/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.57.118.105:34673/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.59.30.79:40697/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.61.116.105:47414/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.63.13.0:47499/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.63.13.0:47499/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://115.63.46.19:58775/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://116.139.110.10:42057/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://116.139.110.10:42057/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://116.139.27.33:47866/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://116.139.27.33:47866/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://116.72.207.71:46749/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
